feature_1,feature_2,abs_corr,signed_corr,high_corr_flag,drop_candidate
Seedrate(in Kg),Pest_60Day(in ml),0.999999999999999,0.999999999999999,True,Pest_60Day(in ml)
DAP_20days,Weed28D_thiobencarb,0.999999999999999,0.999999999999999,True,Weed28D_thiobencarb
Nursery area (Cents),LP_nurseryarea(in Tonnes),0.999999999999999,0.999999999999999,True,LP_nurseryarea(in Tonnes)
LP_Mainfield(in Tonnes),Pest_60Day(in ml),0.999999999999999,0.999999999999999,True,Pest_60Day(in ml)
Hectares,DAP_20days,0.999999999999999,0.999999999999999,True,DAP_20days
Hectares,Nursery area (Cents),0.999999999999999,0.999999999999999,True,Nursery area (Cents)
Hectares,Potassh_50Days,0.9999999999999989,0.9999999999999989,True,Potassh_50Days
LP_nurseryarea(in Tonnes),Potassh_50Days,0.9999999999999989,0.9999999999999989,True,Potassh_50Days
Weed28D_thiobencarb,Potassh_50Days,0.9999999999999989,0.9999999999999989,True,Potassh_50Days
Hectares,Micronutrients_70Days,0.9999999999999988,0.9999999999999988,True,Micronutrients_70Days
30_50DRain( in mm),30_50DAI(in mm),0.9999999999999988,-0.9999999999999988,True,30_50DAI(in mm)
Weed28D_thiobencarb,Micronutrients_70Days,0.9999999999999988,0.9999999999999988,True,Micronutrients_70Days
LP_nurseryarea(in Tonnes),Micronutrients_70Days,0.9999999999999988,0.9999999999999988,True,Micronutrients_70Days
DAP_20days,Potassh_50Days,0.9999999999999986,0.9999999999999986,True,Potassh_50Days
Nursery area (Cents),Potassh_50Days,0.9999999999999986,0.9999999999999986,True,Potassh_50Days
Seedrate(in Kg),Nursery area (Cents),0.9999999999999984,0.9999999999999984,True,Nursery area (Cents)
Seedrate(in Kg),DAP_20days,0.9999999999999984,0.9999999999999984,True,DAP_20days
LP_Mainfield(in Tonnes),DAP_20days,0.9999999999999984,0.9999999999999984,True,DAP_20days
LP_Mainfield(in Tonnes),Nursery area (Cents),0.9999999999999984,0.9999999999999984,True,Nursery area (Cents)
30_50DAI(in mm),71_105DRain(in mm),0.9999999999999979,-0.9999999999999979,True,71_105DRain(in mm)
Pest_60Day(in ml),Paddy yield(in Kg),0.9943389943679959,0.9943389943679959,True,
Urea_40Days,Paddy yield(in Kg),0.9943389943679958,0.9943389943679958,True,
Hectares,Paddy yield(in Kg),0.9943389943679954,0.9943389943679954,True,
LP_nurseryarea(in Tonnes),Paddy yield(in Kg),0.9943389943679954,0.9943389943679954,True,
Weed28D_thiobencarb,Paddy yield(in Kg),0.9943389943679954,0.9943389943679954,True,
Micronutrients_70Days,Paddy yield(in Kg),0.9943389943679953,0.9943389943679953,True,
DAP_20days,Paddy yield(in Kg),0.9943389943679947,0.9943389943679947,True,
Nursery area (Cents),Paddy yield(in Kg),0.9943389943679947,0.9943389943679947,True,
Seedrate(in Kg),Paddy yield(in Kg),0.9943389943679946,0.9943389943679946,True,
LP_Mainfield(in Tonnes),Paddy yield(in Kg),0.9943389943679946,0.9943389943679946,True,
Potassh_50Days,Paddy yield(in Kg),0.994338994367994,0.994338994367994,True,
Min temp_D1_D30,Min temp_D61_D90,0.9925846255743602,0.9925846255743602,True,Min temp_D61_D90
Max temp_D31_D60,Max temp_D91_D120,0.9720270298261838,-0.9720270298261838,False,
Pest_60Day(in ml),Trash(in bundles),0.9672836586515868,0.9672836586515868,False,
Seedrate(in Kg),Trash(in bundles),0.9672836586515853,0.9672836586515853,False,
Hectares,Trash(in bundles),0.9672836586515853,0.9672836586515853,False,
Nursery area (Cents),Trash(in bundles),0.9672836586515853,0.9672836586515853,False,
DAP_20days,Trash(in bundles),0.9672836586515853,0.9672836586515853,False,
LP_Mainfield(in Tonnes),Trash(in bundles),0.9672836586515853,0.9672836586515853,False,
Weed28D_thiobencarb,Trash(in bundles),0.9672836586515853,0.9672836586515853,False,
Potassh_50Days,Trash(in bundles),0.9672836586515853,0.9672836586515853,False,
LP_nurseryarea(in Tonnes),Trash(in bundles),0.9672836586515853,0.9672836586515853,False,
Urea_40Days,Trash(in bundles),0.9672836586515848,0.9672836586515848,False,
Micronutrients_70Days,Trash(in bundles),0.9672836586515843,0.9672836586515843,False,
Trash(in bundles),Paddy yield(in Kg),0.9574530982411764,0.9574530982411764,False,
30_50DAI(in mm),51_70AI(in mm),0.9520484197569148,0.9520484197569148,False,
30_50DAI(in mm),51_70DRain(in mm),0.9520484197569148,-0.9520484197569148,False,
30_50DRain( in mm),51_70DRain(in mm),0.9520484197569118,0.9520484197569118,False,
30_50DRain( in mm),51_70AI(in mm),0.9520484197569118,-0.9520484197569118,False,
51_70AI(in mm),71_105DAI(in mm),0.9520484197569115,0.9520484197569115,False,
51_70DRain(in mm),71_105DAI(in mm),0.9520484197569115,-0.9520484197569115,False,
51_70AI(in mm),71_105DRain(in mm),0.9520484197569076,-0.9520484197569076,False,
51_70DRain(in mm),71_105DRain(in mm),0.9520484197569076,0.9520484197569076,False,
Max temp_D31_D60,Inst Wind Speed_D31_D60(in Knots),0.9435294501357286,-0.9435294501357286,False,
51_70AI(in mm),Relative Humidity_D1_D30,0.9156298629595075,0.9156298629595075,False,
51_70DRain(in mm),Relative Humidity_D1_D30,0.9156298629595075,-0.9156298629595075,False,
30DRain( in mm),71_105DAI(in mm),0.8999743849634632,-0.8999743849634632,False,
30DAI(in mm),71_105DAI(in mm),0.8999743849634632,0.8999743849634632,False,
30DAI(in mm),30_50DRain( in mm),0.8999743849634632,-0.8999743849634632,False,
30DRain( in mm),30_50DRain( in mm),0.8999743849634632,0.8999743849634632,False,
30DAI(in mm),71_105DRain(in mm),0.899974384963463,-0.899974384963463,False,
30DRain( in mm),71_105DRain(in mm),0.899974384963463,0.899974384963463,False,
30DAI(in mm),30_50DAI(in mm),0.8999743849634617,0.8999743849634617,False,
30DRain( in mm),30_50DAI(in mm),0.8999743849634617,-0.8999743849634617,False,
Inst Wind Speed_D31_D60(in Knots),Inst Wind Speed_D91_D120(in Knots),0.8910183161390305,0.8910183161390305,False,
Max temp_D91_D120,Inst Wind Speed_D31_D60(in Knots),0.8793310775032877,0.8793310775032877,False,
Min temp_D91_D120,Relative Humidity_D91_D120,0.8563022995232789,-0.8563022995232789,False,
Inst Wind Speed_D31_D60(in Knots),Relative Humidity_D91_D120,0.8498805298750052,-0.8498805298750052,False,
Min temp_D31_D60,Min temp_D61_D90,0.8277047717507082,0.8277047717507082,False,
30_50DRain( in mm),Relative Humidity_D1_D30,0.8198627956691682,-0.8198627956691682,False,
71_105DAI(in mm),Relative Humidity_D1_D30,0.8198627956691682,0.8198627956691682,False,
30_50DAI(in mm),Relative Humidity_D1_D30,0.8198627956691679,0.8198627956691679,False,
71_105DRain(in mm),Relative Humidity_D1_D30,0.8198627956691638,-0.8198627956691638,False,
Max temp_D31_D60,Relative Humidity_D91_D120,0.8145452711186352,0.8145452711186352,False,
Relative Humidity_D31_D60,Relative Humidity_D61_D90,0.8108028008512763,-0.8108028008512763,False,
Inst Wind Speed_D1_D30(in Knots),Inst Wind Speed_D61_D90(in Knots),0.8105188433790487,0.8105188433790487,False,
51_70DRain(in mm),Relative Humidity_D31_D60,0.8016680879465294,-0.8016680879465294,False,
51_70AI(in mm),Relative Humidity_D31_D60,0.8016680879465294,0.8016680879465294,False,
Min temp_D61_D90,Relative Humidity_D61_D90,0.789966715440022,-0.789966715440022,False,
Min temp_D1_D30,Min temp_D31_D60,0.7806084605897872,0.7806084605897872,False,
Min temp_D1_D30,Relative Humidity_D91_D120,0.7731238876721422,-0.7731238876721422,False,
Relative Humidity_D31_D60,Relative Humidity_D91_D120,0.7560629477021482,-0.7560629477021482,False,
Max temp_D91_D120,Relative Humidity_D91_D120,0.7531041856957669,-0.7531041856957669,False,
Min temp_D61_D90,Relative Humidity_D91_D120,0.749624568560486,-0.749624568560486,False,
Max temp_D31_D60,Inst Wind Speed_D91_D120(in Knots),0.7472305091648521,-0.7472305091648521,False,
Min temp_D31_D60,Relative Humidity_D61_D90,0.743803918152401,-0.743803918152401,False,
Min temp_D61_D90,Relative Humidity_D31_D60,0.742933690887103,0.742933690887103,False,
Min temp_D1_D30,Relative Humidity_D61_D90,0.729218927121137,-0.729218927121137,False,
30DRain( in mm),51_70AI(in mm),0.7234436349495957,-0.7234436349495957,False,
30DAI(in mm),51_70DRain(in mm),0.7234436349495957,-0.7234436349495957,False,
30DRain( in mm),51_70DRain(in mm),0.7234436349495957,0.7234436349495957,False,
30DAI(in mm),51_70AI(in mm),0.7234436349495957,0.7234436349495957,False,
Max temp_D91_D120,Inst Wind Speed_D91_D120(in Knots),0.7222811367279817,0.7222811367279817,False,
30_50DAI(in mm),Relative Humidity_D31_D60,0.7073253120042773,0.7073253120042773,False,
71_105DRain(in mm),Relative Humidity_D31_D60,0.70732531200427,-0.70732531200427,False,
30_50DRain( in mm),Relative Humidity_D31_D60,0.7073253120042698,-0.7073253120042698,False,
71_105DAI(in mm),Relative Humidity_D31_D60,0.7073253120042698,0.7073253120042698,False,
Min temp_D1_D30,Min temp_D91_D120,0.7062140448790533,0.7062140448790533,False,
Min temp_D91_D120,Inst Wind Speed_D31_D60(in Knots),0.6969978930480318,0.6969978930480318,False,
Min temp_D1_D30,Relative Humidity_D31_D60,0.6865198478786271,0.6865198478786271,False,
Inst Wind Speed_D61_D90(in Knots),Relative Humidity_D1_D30,0.6841836586963461,-0.6841836586963461,False,
Min temp_D61_D90,Min temp_D91_D120,0.6835132059854706,0.6835132059854706,False,
Paddy yield(in Kg),Paddy yield_per_hectare(in Kg),0.6725842903611888,0.6725842903611888,False,
Min temp_D1_D30,Max temp_D61_D90,0.664331690980751,0.664331690980751,False,
30DAI(in mm),Max temp_D61_D90,0.6592869566426517,0.6592869566426517,False,
30DRain( in mm),Max temp_D61_D90,0.6592869566426517,-0.6592869566426517,False,
Max temp_D1_D30,Min temp_D91_D120,0.6587639472171245,0.6587639472171245,False,
30DAI(in mm),Max temp_D1_D30,0.6413011020926354,-0.6413011020926354,False,
30DRain( in mm),Max temp_D1_D30,0.6413011020926354,0.6413011020926354,False,
Min temp_D61_D90,Max temp_D61_D90,0.6321102275183336,0.6321102275183336,False,
Inst Wind Speed_D91_D120(in Knots),Relative Humidity_D91_D120,0.6259993139608422,-0.6259993139608422,False,
Max temp_D61_D90,Inst Wind Speed_D91_D120(in Knots),0.6116104991273308,0.6116104991273308,False,
Min temp_D31_D60,Min temp_D91_D120,0.6009794581439097,0.6009794581439097,False,
Min temp_D31_D60,Relative Humidity_D31_D60,0.6007404906768505,0.6007404906768505,False,
Urea_40Days,Paddy yield_per_hectare(in Kg),0.5948777893494331,0.5948777893494331,False,
Pest_60Day(in ml),Paddy yield_per_hectare(in Kg),0.594877789349433,0.594877789349433,False,
Nursery area (Cents),Paddy yield_per_hectare(in Kg),0.5948777893494329,0.5948777893494329,False,
DAP_20days,Paddy yield_per_hectare(in Kg),0.5948777893494329,0.5948777893494329,False,
Micronutrients_70Days,Paddy yield_per_hectare(in Kg),0.5948777893494325,0.5948777893494325,False,
Seedrate(in Kg),Paddy yield_per_hectare(in Kg),0.594877789349432,0.594877789349432,False,
LP_Mainfield(in Tonnes),Paddy yield_per_hectare(in Kg),0.594877789349432,0.594877789349432,False,
LP_nurseryarea(in Tonnes),Paddy yield_per_hectare(in Kg),0.5948777893494319,0.5948777893494319,False,
Hectares,Paddy yield_per_hectare(in Kg),0.5948777893494319,0.5948777893494319,False,
Weed28D_thiobencarb,Paddy yield_per_hectare(in Kg),0.5948777893494319,0.5948777893494319,False,
Potassh_50Days,Paddy yield_per_hectare(in Kg),0.5948777893494311,0.5948777893494311,False,
51_70DRain(in mm),Inst Wind Speed_D61_D90(in Knots),0.587678306829676,0.587678306829676,False,
51_70AI(in mm),Inst Wind Speed_D61_D90(in Knots),0.587678306829676,-0.587678306829676,False,
Min temp_D1_D30,Max temp_D91_D120,0.5842150401632669,0.5842150401632669,False,
Min temp_D91_D120,Inst Wind Speed_D61_D90(in Knots),0.5769301877958221,-0.5769301877958221,False,
Min temp_D91_D120,Relative Humidity_D31_D60,0.5762928152155291,0.5762928152155291,False,
Min temp_D1_D30,Max temp_D31_D60,0.5758893656904551,-0.5758893656904551,False,
51_70DRain(in mm),Relative Humidity_D91_D120,0.5754529495254769,0.5754529495254769,False,
51_70AI(in mm),Relative Humidity_D91_D120,0.5754529495254769,-0.5754529495254769,False,
Relative Humidity_D1_D30,Relative Humidity_D31_D60,0.5752962315374787,0.5752962315374787,False,
Relative Humidity_D61_D90,Relative Humidity_D91_D120,0.5685262578962383,0.5685262578962383,False,
Min temp_D1_D30,Inst Wind Speed_D31_D60(in Knots),0.5543096854509113,0.5543096854509113,False,
Trash(in bundles),Paddy yield_per_hectare(in Kg),0.5500974099968432,0.5500974099968432,False,
30DAI(in mm),Relative Humidity_D1_D30,0.5453796389649845,0.5453796389649845,False,
30DRain( in mm),Relative Humidity_D1_D30,0.5453796389649845,-0.5453796389649845,False,
Max temp_D1_D30,Min temp_D31_D60,0.5427521220768953,0.5427521220768953,False,
Min temp_D91_D120,Inst Wind Speed_D91_D120(in Knots),0.5405928044107063,0.5405928044107063,False,
Max temp_D31_D60,Min temp_D91_D120,0.5346749238904819,-0.5346749238904819,False,
30_50DAI(in mm),Relative Humidity_D91_D120,0.5344547114423192,-0.5344547114423192,False,
71_105DRain(in mm),Relative Humidity_D91_D120,0.5344547114423127,0.5344547114423127,False,
71_105DAI(in mm),Relative Humidity_D91_D120,0.5344547114423105,-0.5344547114423105,False,
30_50DRain( in mm),Relative Humidity_D91_D120,0.5344547114423105,0.5344547114423105,False,
Min temp_D61_D90,Max temp_D91_D120,0.5183849808037716,0.5183849808037716,False,
Min temp_D61_D90,Inst Wind Speed_D1_D30(in Knots),0.5183033366997782,0.5183033366997782,False,
30DRain( in mm),Max temp_D91_D120,0.510484560190162,-0.510484560190162,False,
30DAI(in mm),Max temp_D91_D120,0.510484560190162,0.510484560190162,False,
Max temp_D31_D60,Min temp_D61_D90,0.5056331108594612,-0.5056331108594612,False,
Max temp_D1_D30,Inst Wind Speed_D61_D90(in Knots),0.5049590876488775,-0.5049590876488775,False,
30DRain( in mm),Inst Wind Speed_D91_D120(in Knots),0.5024158925397388,-0.5024158925397388,False,
30DAI(in mm),Inst Wind Speed_D91_D120(in Knots),0.5024158925397388,0.5024158925397388,False,
Inst Wind Speed_D1_D30(in Knots),Relative Humidity_D61_D90,0.49463847276055645,-0.49463847276055645,False,
Min temp_D31_D60,Inst Wind Speed_D1_D30(in Knots),0.4903677176364543,0.4903677176364543,False,
Max temp_D61_D90,Relative Humidity_D91_D120,0.4864350755468278,-0.4864350755468278,False,
71_105DRain(in mm),Max temp_D61_D90,0.4847174699105365,-0.4847174699105365,False,
30_50DRain( in mm),Max temp_D61_D90,0.48471746991053427,-0.48471746991053427,False,
71_105DAI(in mm),Max temp_D61_D90,0.48471746991053427,0.48471746991053427,False,
30_50DAI(in mm),Max temp_D61_D90,0.48471746991053094,0.48471746991053094,False,
Min temp_D1_D30,Inst Wind Speed_D1_D30(in Knots),0.4813534983910956,0.4813534983910956,False,
Min temp_D61_D90,Inst Wind Speed_D31_D60(in Knots),0.47295528702184975,0.47295528702184975,False,
30DAI(in mm),Relative Humidity_D31_D60,0.4538174814333785,0.4538174814333785,False,
30DRain( in mm),Relative Humidity_D31_D60,0.4538174814333785,-0.4538174814333785,False,
Inst Wind Speed_D61_D90(in Knots),Relative Humidity_D91_D120,0.45203676090130573,0.45203676090130573,False,
Max temp_D61_D90,Min temp_D91_D120,0.4483246124107209,0.4483246124107209,False,
Max temp_D61_D90,Inst Wind Speed_D31_D60(in Knots),0.43836601204423803,0.43836601204423803,False,
Inst Wind Speed_D1_D30(in Knots),Relative Humidity_D1_D30,0.4345744074258302,-0.4345744074258302,False,
30_50DAI(in mm),Inst Wind Speed_D61_D90(in Knots),0.4308523217596885,-0.4308523217596885,False,
71_105DAI(in mm),Inst Wind Speed_D61_D90(in Knots),0.4308523217596884,-0.4308523217596884,False,
30_50DRain( in mm),Inst Wind Speed_D61_D90(in Knots),0.4308523217596884,0.4308523217596884,False,
71_105DRain(in mm),Inst Wind Speed_D61_D90(in Knots),0.43085232175968297,0.43085232175968297,False,
Min temp_D31_D60,Relative Humidity_D91_D120,0.4216223084259348,-0.4216223084259348,False,
71_105DRain(in mm),Max temp_D91_D120,0.4204926213627642,-0.4204926213627642,False,
30_50DAI(in mm),Max temp_D91_D120,0.42049262136276333,0.42049262136276333,False,
71_105DAI(in mm),Max temp_D91_D120,0.42049262136275833,0.42049262136275833,False,
30_50DRain( in mm),Max temp_D91_D120,0.42049262136275833,-0.42049262136275833,False,
Min temp_D91_D120,Relative Humidity_D61_D90,0.41328581333137265,-0.41328581333137265,False,
Max temp_D61_D90,Max temp_D91_D120,0.41080458632135447,0.41080458632135447,False,
Max temp_D61_D90,Relative Humidity_D31_D60,0.4026058765608418,0.4026058765608418,False,
Min temp_D91_D120,Max temp_D91_D120,0.39809987447336675,0.39809987447336675,False,
30DAI(in mm),Relative Humidity_D91_D120,0.38606025908468855,-0.38606025908468855,False,
30DRain( in mm),Relative Humidity_D91_D120,0.38606025908468855,0.38606025908468855,False,
Relative Humidity_D1_D30,Relative Humidity_D91_D120,0.3828500632732804,-0.3828500632732804,False,
Max temp_D91_D120,Relative Humidity_D31_D60,0.3734692112230561,0.3734692112230561,False,
Max temp_D1_D30,Relative Humidity_D61_D90,0.37322484618937124,-0.37322484618937124,False,
Min temp_D31_D60,Max temp_D61_D90,0.37000820416451957,0.37000820416451957,False,
Max temp_D1_D30,Inst Wind Speed_D1_D30(in Knots),0.3665448982321673,-0.3665448982321673,False,
51_70DRain(in mm),Relative Humidity_D61_D90,0.3613191544624639,0.3613191544624639,False,
51_70AI(in mm),Relative Humidity_D61_D90,0.3613191544624639,-0.3613191544624639,False,
30DRain( in mm),Max temp_D31_D60,0.36105627926033257,0.36105627926033257,False,
30DAI(in mm),Max temp_D31_D60,0.36105627926033257,-0.36105627926033257,False,
Min temp_D1_D30,Inst Wind Speed_D91_D120(in Knots),0.3604553294887529,0.3604553294887529,False,
30DAI(in mm),Inst Wind Speed_D31_D60(in Knots),0.36032034968291854,0.36032034968291854,False,
30DRain( in mm),Inst Wind Speed_D31_D60(in Knots),0.36032034968291854,-0.36032034968291854,False,
Max temp_D31_D60,Relative Humidity_D31_D60,0.3591480330840426,-0.3591480330840426,False,
71_105DRain(in mm),Inst Wind Speed_D91_D120(in Knots),0.3535244277362538,-0.3535244277362538,False,
71_105DAI(in mm),Inst Wind Speed_D91_D120(in Knots),0.35352442773625103,0.35352442773625103,False,
30_50DRain( in mm),Inst Wind Speed_D91_D120(in Knots),0.35352442773625103,-0.35352442773625103,False,
30_50DAI(in mm),Inst Wind Speed_D91_D120(in Knots),0.35352442773624965,0.35352442773624965,False,
Max temp_D1_D30,Relative Humidity_D91_D120,0.3438964827293752,-0.3438964827293752,False,
Inst Wind Speed_D31_D60(in Knots),Inst Wind Speed_D61_D90(in Knots),0.343653619203127,-0.343653619203127,False,
Max temp_D61_D90,Inst Wind Speed_D1_D30(in Knots),0.34331203410779304,0.34331203410779304,False,
Inst Wind Speed_D61_D90(in Knots),Relative Humidity_D31_D60,0.3407489044214687,-0.3407489044214687,False,
30_50DAI(in mm),Inst Wind Speed_D31_D60(in Knots),0.3385401313905474,0.3385401313905474,False,
71_105DRain(in mm),Inst Wind Speed_D31_D60(in Knots),0.33854013139054656,-0.33854013139054656,False,
71_105DAI(in mm),Inst Wind Speed_D31_D60(in Knots),0.3385401313905417,0.3385401313905417,False,
30_50DRain( in mm),Inst Wind Speed_D31_D60(in Knots),0.3385401313905417,-0.3385401313905417,False,
Inst Wind Speed_D1_D30(in Knots),Inst Wind Speed_D91_D120(in Knots),0.3382204240401741,-0.3382204240401741,False,
30_50DAI(in mm),Max temp_D31_D60,0.33064488760274735,-0.33064488760274735,False,
71_105DRain(in mm),Max temp_D31_D60,0.33064488760274513,0.33064488760274513,False,
71_105DAI(in mm),Max temp_D31_D60,0.33064488760274124,-0.33064488760274124,False,
30_50DRain( in mm),Max temp_D31_D60,0.33064488760274124,0.33064488760274124,False,
Inst Wind Speed_D61_D90(in Knots),Inst Wind Speed_D91_D120(in Knots),0.3302879790294809,-0.3302879790294809,False,
Inst Wind Speed_D31_D60(in Knots),Relative Humidity_D31_D60,0.3209489837196371,0.3209489837196371,False,
Max temp_D91_D120,Relative Humidity_D61_D90,0.3194510306058346,-0.3194510306058346,False,
Max temp_D31_D60,Max temp_D61_D90,0.31931643850299574,-0.31931643850299574,False,
51_70AI(in mm),Min temp_D91_D120,0.3178867641412544,0.3178867641412544,False,
51_70DRain(in mm),Min temp_D91_D120,0.3178867641412544,-0.3178867641412544,False,
Max temp_D31_D60,Relative Humidity_D61_D90,0.3178256966537704,0.3178256966537704,False,
71_105DRain(in mm),Max temp_D1_D30,0.3140154877949911,0.3140154877949911,False,
71_105DAI(in mm),Max temp_D1_D30,0.31401548779499083,-0.31401548779499083,False,
30_50DRain( in mm),Max temp_D1_D30,0.31401548779499083,0.31401548779499083,False,
30_50DAI(in mm),Max temp_D1_D30,0.3140154877949812,-0.3140154877949812,False,
51_70AI(in mm),Max temp_D91_D120,0.3076544289740219,0.3076544289740219,False,
51_70DRain(in mm),Max temp_D91_D120,0.3076544289740219,-0.3076544289740219,False,
51_70AI(in mm),Max temp_D61_D90,0.304934043069127,0.304934043069127,False,
51_70DRain(in mm),Max temp_D61_D90,0.304934043069127,-0.304934043069127,False,
Max temp_D1_D30,Max temp_D61_D90,0.29563057200177123,-0.29563057200177123,False,
Inst Wind Speed_D1_D30(in Knots),Inst Wind Speed_D31_D60(in Knots),0.29028366002296835,-0.29028366002296835,False,
51_70DRain(in mm),Inst Wind Speed_D31_D60(in Knots),0.28325605675131477,-0.28325605675131477,False,
51_70AI(in mm),Inst Wind Speed_D31_D60(in Knots),0.28325605675131477,0.28325605675131477,False,
51_70AI(in mm),Max temp_D31_D60,0.2702362255956839,-0.2702362255956839,False,
51_70DRain(in mm),Max temp_D31_D60,0.2702362255956839,0.2702362255956839,False,
51_70DRain(in mm),Min temp_D61_D90,0.2689479886552175,-0.2689479886552175,False,
51_70AI(in mm),Min temp_D61_D90,0.2689479886552175,0.2689479886552175,False,
30_50DAI(in mm),Min temp_D61_D90,0.2676535858240604,0.2676535858240604,False,
71_105DRain(in mm),Min temp_D61_D90,0.2676535858240562,-0.2676535858240562,False,
71_105DAI(in mm),Min temp_D61_D90,0.26765358582405213,0.26765358582405213,False,
30_50DRain( in mm),Min temp_D61_D90,0.26765358582405213,-0.26765358582405213,False,
Min temp_D61_D90,Inst Wind Speed_D91_D120(in Knots),0.2620017374449134,0.2620017374449134,False,
Max temp_D1_D30,Min temp_D61_D90,0.24994828923172913,0.24994828923172913,False,
Max temp_D1_D30,Relative Humidity_D31_D60,0.24918726623290402,0.24918726623290402,False,
30_50DAI(in mm),Min temp_D1_D30,0.24443985622068773,0.24443985622068773,False,
71_105DRain(in mm),Min temp_D1_D30,0.2444398562206832,-0.2444398562206832,False,
71_105DAI(in mm),Min temp_D1_D30,0.24443985622067851,0.24443985622067851,False,
30_50DRain( in mm),Min temp_D1_D30,0.24443985622067851,-0.24443985622067851,False,
Min temp_D91_D120,Inst Wind Speed_D1_D30(in Knots),0.24431972559284038,-0.24431972559284038,False,
30_50DAI(in mm),Relative Humidity_D61_D90,0.2340023792173869,-0.2340023792173869,False,
71_105DRain(in mm),Relative Humidity_D61_D90,0.2340023792173774,0.2340023792173774,False,
71_105DAI(in mm),Relative Humidity_D61_D90,0.2340023792173726,-0.2340023792173726,False,
