feature,missing_count,missing_pct,n_non_null,n_unique,dominant_value_ratio,std,variance,min,max,pearson_to_target,spearman_to_target,abs_spearman_to_target,constant_flag,near_constant_flag
Relative Humidity_D61_D90,0,0.0,2338,5,0.325491873396065,3.5315510075377774,12.471852518841091,81.0,92.0,-0.0029652441766750497,-0.010268903283697858,0.010268903283697858,False,False
Relative Humidity_D1_D30,0,0.0,2338,6,0.21471343028229256,8.004360412278016,64.06978560964349,64.6,88.5,-0.01573143807577059,-0.010077231943401618,0.010077231943401618,False,False
Inst Wind Speed_D31_D60(in Knots),0,0.0,2338,4,0.3686911890504705,3.20008190619924,10.240524206383762,4.0,12.0,0.004133721486089081,0.006746799133161418,0.006746799133161418,False,False
30_50DAI(in mm),0,0.0,2338,3,0.3678357570573139,0.8515859648933641,0.725198655603362,270.8,272.8,0.006550946117453775,-0.005830014793687751,0.005830014793687751,False,False
30_50DRain( in mm),0,0.0,2338,3,0.3678357570573139,0.8515859648933691,0.7251986556033706,185.2,187.2,-0.006550946117454273,0.005830014793687751,0.005830014793687751,False,False
51_70AI(in mm),0,0.0,2338,3,0.3678357570573139,0.6765042435075527,0.4576579914837261,250.0,251.7,-0.004052557592441893,-0.005830014793687751,0.005830014793687751,False,False
51_70DRain(in mm),0,0.0,2338,3,0.3678357570573139,0.6765042435075527,0.4576579914837261,165.3,167.0,0.004052557592441893,0.005830014793687751,0.005830014793687751,False,False
71_105DAI(in mm),0,0.0,2338,3,0.3678357570573139,0.42579298244668456,0.18129966390084262,64.0,65.0,0.006550946117454327,-0.005830014793687751,0.005830014793687751,False,False
71_105DRain(in mm),0,0.0,2338,3,0.3678357570573139,0.42579298244668456,0.18129966390084265,60.0,61.0,-0.006550946117454336,0.005830014793687751,0.005830014793687751,False,False
Min temp_D31_D60,0,0.0,2338,6,0.21471343028229256,1.0373165177281598,1.0760255579516758,15.5,18.5,0.004584039088084249,0.003111582467194337,0.003111582467194337,False,False
Min temp_D91_D120,0,0.0,2338,5,0.3272027373823781,0.9086261611766261,0.8256015007745721,15.0,18.0,-0.007786655055623854,0.0025696565392968264,0.0025696565392968264,False,False
Relative Humidity_D31_D60,0,0.0,2338,6,0.21471343028229256,6.779774656557597,45.96534439370068,78.0,96.0,0.0014084662551344957,-0.001993233965974032,0.001993233965974032,False,False
Relative Humidity_D91_D120,0,0.0,2338,6,0.21471343028229256,3.1486339451765297,9.913895720717917,79.0,88.0,-0.000734727340537261,0.0010579328376885675,0.0010579328376885675,False,False
