feature_1,feature_2,corr,high_corr_flag,drop_candidate
irrigated,soil_pH,-0.017244689189699965,False,
N_fertilizer,soil_P,-0.02716451199759481,False,
record_id,P_fertilizer,-0.030573870385930617,False,
record_id,residue_P,-0.033472251172335175,False,
N_fertilizer,K_fertilizer,-0.03430329036956344,False,
row_spacing,soil_pH,-0.03688574087395827,False,
rep,irrigated,-0.04806721467872637,False,
N_fertilizer,plot_area,-0.052790317887800225,False,
planting_date,rep,-0.06924047479783059,False,
dmy_residue,row_spacing,-0.07504774573213874,False,
P_fertilizer,plot_area,-0.07513046876564033,False,
record_id,row_spacing,-0.07879432363551327,False,
flooded,P_fertilizer,-0.08143703902455625,False,
record_id,grain_P,-0.08532034643760927,False,
K_fertilizer,latitude,-0.08602609462357341,False,
record_id,K_fertilizer,-0.08920423515123865,False,
plot_area,soil_P,-0.10366628422045869,False,
planting_date,grain_P,-0.10546221470005011,False,
latitude,soil_P,-0.10791107840672058,False,
P_fertilizer,irrigated,-0.11372580314490432,False,
plot_area,soil_pH,-0.11632824103433052,False,
longitude,soil_P,-0.12048466785482517,False,
P_fertilizer,longitude,-0.12188459389348028,False,
irrigated,row_spacing,-0.12984980934091206,False,
planting_date,P_fertilizer,-0.13068765892498785,False,
P_fertilizer,soil_pH,-0.1464710811106603,False,
record_id,plot_area,-0.1507736282219346,False,
record_id,rep,-0.15501512437920684,False,
N_fertilizer,soil_pH,-0.16299670288527346,False,
K_fertilizer,irrigated,-0.17934260571786007,False,
grain_P,longitude,-0.198857905665938,False,
residue_P,longitude,-0.2001931818663678,False,
row_spacing,plot_area,-0.20219848561032902,False,
planting_date,latitude,-0.21241362325392998,False,
residue_P,latitude,-0.23143709734823406,False,
irrigated,latitude,-0.2696412130147131,False,
record_id,soil_P,-0.2721188188805585,False,
latitude,soil_pH,-0.2740436600359151,False,
planting_date,residue_P,-0.30813220456724977,False,
rep,longitude,-0.32143973684601423,False,
planting_date,K_fertilizer,-0.33776244617080836,False,
grain_P,latitude,-0.34469574919814483,False,
planting_date,row_spacing,-0.36727424483005366,False,
planting_date,soil_P,-0.36794057134360153,False,
record_id,irrigated,-0.3704651851755019,False,
flooded,K_fertilizer,-0.3808725278875709,False,
rep,latitude,-0.38094974410626137,False,
flooded,soil_pH,-0.38226512753250963,False,
P_fertilizer,soil_P,-0.3966200978304226,False,
dmy_residue,latitude,-0.40790861200078654,False,
dmy_residue,plot_area,-0.41075723284029264,False,
record_id,soil_pH,-0.4204029217716258,False,
flooded,latitude,-0.42290721606382753,False,
longitude,soil_pH,-0.45152313411399336,False,
N_fertilizer,latitude,-0.4515794388223464,False,
row_spacing,latitude,-0.5498607777347099,False,
row_spacing,longitude,-0.6243398114034736,False,
K_fertilizer,plot_area,-0.6702728945604852,False,
K_fertilizer,longitude,-0.7239323501833437,False,
record_id,on_farm,,False,
record_id,is_survey,,False,
record_id,yield_moisture,,False,
record_id,geo_from_source,,False,
planting_date,on_farm,,False,
planting_date,is_survey,,False,
planting_date,yield_moisture,,False,
planting_date,geo_from_source,,False,
flooded,on_farm,,False,
flooded,is_survey,,False,
flooded,yield_moisture,,False,
flooded,geo_from_source,,False,
on_farm,is_survey,,False,
on_farm,rep,,False,
on_farm,dmy_residue,,False,
on_farm,yield_moisture,,False,
on_farm,N_fertilizer,,False,
on_farm,P_fertilizer,,False,
on_farm,K_fertilizer,,False,
on_farm,irrigated,,False,
on_farm,row_spacing,,False,
on_farm,plot_area,,False,
on_farm,grain_P,,False,
on_farm,residue_P,,False,
on_farm,longitude,,False,
on_farm,latitude,,False,
on_farm,geo_from_source,,False,
on_farm,soil_pH,,False,
on_farm,soil_P,,False,
is_survey,rep,,False,
is_survey,dmy_residue,,False,
is_survey,yield_moisture,,False,
is_survey,N_fertilizer,,False,
is_survey,P_fertilizer,,False,
is_survey,K_fertilizer,,False,
is_survey,irrigated,,False,
is_survey,row_spacing,,False,
is_survey,plot_area,,False,
is_survey,grain_P,,False,
is_survey,residue_P,,False,
is_survey,longitude,,False,
is_survey,latitude,,False,
is_survey,geo_from_source,,False,
is_survey,soil_pH,,False,
is_survey,soil_P,,False,
rep,yield_moisture,,False,
rep,geo_from_source,,False,
dmy_residue,yield_moisture,,False,
dmy_residue,geo_from_source,,False,
yield_moisture,N_fertilizer,,False,
yield_moisture,P_fertilizer,,False,
yield_moisture,K_fertilizer,,False,
yield_moisture,irrigated,,False,
yield_moisture,row_spacing,,False,
yield_moisture,plot_area,,False,
yield_moisture,grain_P,,False,
yield_moisture,residue_P,,False,
yield_moisture,longitude,,False,
yield_moisture,latitude,,False,
yield_moisture,geo_from_source,,False,
yield_moisture,soil_pH,,False,
yield_moisture,soil_P,,False,
N_fertilizer,geo_from_source,,False,
P_fertilizer,geo_from_source,,False,
K_fertilizer,geo_from_source,,False,
irrigated,geo_from_source,,False,
row_spacing,geo_from_source,,False,
plot_area,geo_from_source,,False,
grain_P,geo_from_source,,False,
residue_P,geo_from_source,,False,
longitude,geo_from_source,,False,
latitude,geo_from_source,,False,
geo_from_source,soil_pH,,False,
geo_from_source,soil_P,,False,
